model,mode,tags,classification,tool_selection,task_completion,input
Qwen/Qwen3.5-9B,mcp,happy_path,C,1.00,1.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
Qwen/Qwen3.5-9B,mcp,filtering|precision,P,1.00,0.40,How many active devices are in the research-common-h100 cluster?
Qwen/Qwen3.5-9B,mcp,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
Qwen/Qwen3.5-9B,mcp,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
Qwen/Qwen3.5-9B,mcp,tool_selection,P,0.00,1.00,What's the BMC IP address for research-common-h100-001 at ORI-TX?
Qwen/Qwen3.5-9B,mcp,vendor_lookup,C,1.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
Qwen/Qwen3.5-9B,mcp,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
Qwen/Qwen3.5-9B,mcp,filtering|negative_filter,P,1.00,0.20,List all devices in the research-common-h100 cluster that are NOT active
Qwen/Qwen3.5-9B,mcp,happy_path|ip_resolution,C,1.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
Qwen/Qwen3.5-9B,mcp,provider_machine_id|lookup,C,1.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
Qwen/Qwen3.5-9B,mcp,ip_resolution|lookup,C,1.00,1.00,Which NetBox device has primary IP 10.49.5.61?
Qwen/Qwen3.5-9B,mcp,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
Qwen/Qwen3.5-9B,mcp,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
Qwen/Qwen3.5-9B,mcp,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
Qwen/Qwen3.5-9B,mcp,large_result|cluster|pagination,C,1.00,1.00,List all devices in the reflection cluster and tell me how many there are.
Qwen/Qwen3.5-9B,mcp,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
Qwen/Qwen3.5-9B,cli,happy_path,P,1.00,0.30,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
Qwen/Qwen3.5-9B,cli,filtering|precision,I,0.00,,How many active devices are in the research-common-h100 cluster?
Qwen/Qwen3.5-9B,cli,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
Qwen/Qwen3.5-9B,cli,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
Qwen/Qwen3.5-9B,cli,vendor_lookup,I,0.00,0.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
Qwen/Qwen3.5-9B,cli,ambiguity,P,1.00,0.10,Look up ori-gpu001 in NetBox
Qwen/Qwen3.5-9B,cli,filtering|negative_filter,P,1.00,0.30,List all devices in the research-common-h100 cluster that are NOT active
Qwen/Qwen3.5-9B,cli,happy_path|ip_resolution,I,0.00,0.20,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
Qwen/Qwen3.5-9B,cli,cli_specific|filtering,P,1.00,0.60,Use netbox-cli to list all active devices in the research-common-h100 cluster at ORI-TX
Qwen/Qwen3.5-9B,cli,provider_machine_id|lookup,P,1.00,0.00,Find the NetBox device whose provider machine ID is gpu061c.
Qwen/Qwen3.5-9B,cli,ip_resolution|lookup,P,1.00,0.00,Which NetBox device has primary IP 10.49.5.61?
Qwen/Qwen3.5-9B,cli,oob|bmc|pydantic_return,I,0.00,0.20,Give me the out-of-band (BMC) summary for device a6177514-026.
Qwen/Qwen3.5-9B,cli,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
Qwen/Qwen3.5-9B,cli,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
Qwen/Qwen3.5-9B,cli,large_result|cluster|pagination,C,1.00,1.00,List all devices in the reflection cluster and tell me how many there are.
Qwen/Qwen3.5-9B,cli,ambiguity,P,1.00,0.10,Look up device gpu103 in NetBox.
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,happy_path,P,1.00,0.50,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,filtering|precision,P,1.00,0.00,How many active devices are in the research-common-h100 cluster?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,tool_selection,P,0.00,1.00,What's the BMC IP address for research-common-h100-001 at ORI-TX?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,vendor_lookup,C,1.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
meta-llama/Llama-3.3-70B-Instruct-Turbo,mcp,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
