model,mode,tags,classification,tool_selection,task_completion,input
MiniMaxAI/MiniMax-M2.7,cli,batch|multi_id,I,0.00,0.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
MiniMaxAI/MiniMax-M2.7,cli,multi_step,P,0.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
MiniMaxAI/MiniMax-M2.7,cli,provider_machine_id|lookup,P,0.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
MiniMaxAI/MiniMax-M2.7,cli,lookup|by_id,I,0.00,0.00,Get the NetBox device with ID 4723.
MiniMaxAI/MiniMax-M2.7,cli,oob|bmc|pydantic_return,P,0.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
MiniMaxAI/MiniMax-M2.7,cli,filtering|precision,I,0.00,0.00,How many active devices are in the research-common-h100 cluster?
MiniMaxAI/MiniMax-M2.7,cli,large_result|cluster|pagination,P,0.00,1.00,List all devices in the reflection cluster and tell me how many there are.
MiniMaxAI/MiniMax-M2.7,cli,filtering|negative_filter,P,0.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
MiniMaxAI/MiniMax-M2.7,cli,ambiguity,P,0.00,1.00,Look up device gpu103 in NetBox.
MiniMaxAI/MiniMax-M2.7,cli,error_handling,I,0.00,0.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
MiniMaxAI/MiniMax-M2.7,cli,ambiguity,P,0.00,1.00,Look up ori-gpu001 in NetBox
MiniMaxAI/MiniMax-M2.7,cli,happy_path,P,0.00,0.50,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
MiniMaxAI/MiniMax-M2.7,cli,vendor_lookup,P,0.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
MiniMaxAI/MiniMax-M2.7,cli,cli_specific|filtering,P,1.00,0.00,Use netbox-cli to list all active devices in the research-common-h100 cluster at ORI-TX
MiniMaxAI/MiniMax-M2.7,cli,happy_path|ip_resolution,P,0.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
MiniMaxAI/MiniMax-M2.7,cli,ip_resolution|lookup,I,0.00,0.00,Which NetBox device has primary IP 10.49.5.61?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,batch|multi_id,P,0.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,multi_step,P,0.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,provider_machine_id|lookup,P,0.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,lookup|by_id,I,0.00,0.00,Get the NetBox device with ID 4723.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,oob|bmc|pydantic_return,P,0.00,0.50,Give me the out-of-band (BMC) summary for device a6177514-026.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,filtering|precision,P,0.00,0.50,How many active devices are in the research-common-h100 cluster?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,large_result|cluster|pagination,P,0.00,1.00,List all devices in the reflection cluster and tell me how many there are.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,filtering|negative_filter,P,0.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,ambiguity,P,0.00,1.00,Look up device gpu103 in NetBox.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,error_handling,P,0.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,ambiguity,P,0.00,1.00,Look up ori-gpu001 in NetBox
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,happy_path,P,0.00,1.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,vendor_lookup,P,0.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,cli_specific|filtering,P,1.00,0.50,Use netbox-cli to list all active devices in the research-common-h100 cluster at ORI-TX
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,happy_path|ip_resolution,P,0.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,cli,ip_resolution|lookup,P,0.00,1.00,Which NetBox device has primary IP 10.49.5.61?
Qwen/Qwen3.5-9B,cli,batch|multi_id,I,0.00,0.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
Qwen/Qwen3.5-9B,cli,multi_step,I,0.00,0.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
Qwen/Qwen3.5-9B,cli,provider_machine_id|lookup,I,0.00,0.00,Find the NetBox device whose provider machine ID is gpu061c.
Qwen/Qwen3.5-9B,cli,lookup|by_id,I,0.00,0.00,Get the NetBox device with ID 4723.
Qwen/Qwen3.5-9B,cli,oob|bmc|pydantic_return,I,0.00,0.00,Give me the out-of-band (BMC) summary for device a6177514-026.
Qwen/Qwen3.5-9B,cli,filtering|precision,I,0.00,0.00,How many active devices are in the research-common-h100 cluster?
Qwen/Qwen3.5-9B,cli,large_result|cluster|pagination,I,0.00,0.00,List all devices in the reflection cluster and tell me how many there are.
Qwen/Qwen3.5-9B,cli,filtering|negative_filter,I,0.00,0.00,List all devices in the research-common-h100 cluster that are NOT active
Qwen/Qwen3.5-9B,cli,ambiguity,I,0.00,0.00,Look up device gpu103 in NetBox.
Qwen/Qwen3.5-9B,cli,error_handling,I,0.00,0.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
Qwen/Qwen3.5-9B,cli,ambiguity,I,0.00,0.00,Look up ori-gpu001 in NetBox
Qwen/Qwen3.5-9B,cli,happy_path,I,0.00,0.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
Qwen/Qwen3.5-9B,cli,vendor_lookup,I,0.00,0.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
Qwen/Qwen3.5-9B,cli,cli_specific|filtering,P,1.00,0.00,Use netbox-cli to list all active devices in the research-common-h100 cluster at ORI-TX
Qwen/Qwen3.5-9B,cli,happy_path|ip_resolution,I,0.00,0.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
Qwen/Qwen3.5-9B,cli,ip_resolution|lookup,I,0.00,0.00,Which NetBox device has primary IP 10.49.5.61?
Qwen/Qwen3.7-Max,cli,filtering|precision,O,-,-,How many active devices are in the research-common-h100 cluster?
Qwen/Qwen3.7-Max,cli,happy_path,O,-,-,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
deepseek-ai/DeepSeek-V4-Pro,cli,batch|multi_id,I,0.00,0.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
